n_Epochs,Model,Batch Size,ROC_AUC
0,T_CPC,1024,0.679293888
1,T_CPC,1024,0.767169774
2,T_CPC,1024,0.800357514
3,T_CPC,1024,0.809237578
4,T_CPC,1024,0.832731972
5,T_CPC,1024,0.869430867
6,T_CPC,1024,0.889620523
7,T_CPC,1024,0.896450864
8,T_CPC,1024,0.911044553
9,T_CPC,1024,0.921827782
0,TS_CPC,1024,0.795806017
1,TS_CPC,1024,0.850227884
2,TS_CPC,1024,0.867275872
3,TS_CPC,1024,0.870140942
4,TS_CPC,1024,0.872353733
5,TS_CPC,1024,0.873949337
6,TS_CPC,1024,0.879262513
7,TS_CPC,1024,0.875769936
8,TS_CPC,1024,0.88110685
9,TS_CPC,1024,0.882897518
0,S_CPC,1024,0.80001899
1,S_CPC,1024,0.84430165
2,S_CPC,1024,0.869203808
3,S_CPC,1024,0.869761134
4,S_CPC,1024,0.830195105
5,S_CPC,1024,0.837603415
6,S_CPC,1024,0.856044718
7,S_CPC,1024,0.860276269
8,S_CPC,1024,0.865696782
9,S_CPC,1024,0.872942022