n_Epochs,Model,Classification,Batch Size,ROC_AUC
0,T_CPC,LogisticRegression,1024,0.685930198
1,T_CPC,LogisticRegression,1024,0.693470614
2,T_CPC,LogisticRegression,1024,0.708704196
3,T_CPC,LogisticRegression,1024,0.710877768
4,T_CPC,LogisticRegression,1024,0.710729148
5,T_CPC,LogisticRegression,1024,0.717559489
6,T_CPC,LogisticRegression,1024,0.728672986
7,T_CPC,LogisticRegression,1024,0.744265733
8,T_CPC,LogisticRegression,1024,0.756700299
9,T_CPC,LogisticRegression,1024,0.766996384
0,TS_CPC,LogisticRegression,1024,0.807974305
1,TS_CPC,LogisticRegression,1024,0.822082914
2,TS_CPC,LogisticRegression,1024,0.834777565
3,TS_CPC,LogisticRegression,1024,0.839114388
4,TS_CPC,LogisticRegression,1024,0.83805134
5,TS_CPC,LogisticRegression,1024,0.838835725
6,TS_CPC,LogisticRegression,1024,0.838119458
7,TS_CPC,LogisticRegression,1024,0.837097693
8,TS_CPC,LogisticRegression,1024,0.833510164
9,TS_CPC,LogisticRegression,1024,0.830812293
0,S_CPC,LogisticRegression,1024,0.820297406
1,S_CPC,LogisticRegression,1024,0.829175405
2,S_CPC,LogisticRegression,1024,0.833148934
3,S_CPC,LogisticRegression,1024,0.832717522
4,S_CPC,LogisticRegression,1024,0.834897287
5,S_CPC,LogisticRegression,1024,0.842635864
6,S_CPC,LogisticRegression,1024,0.846543339
7,S_CPC,LogisticRegression,1024,0.846894248
8,S_CPC,LogisticRegression,1024,0.843383094
9,S_CPC,LogisticRegression,1024,0.844159222